saga,song,character,lyrics
The Wisdom Saga,God Games,ZEUS,"Apollo, Hephaestus

Aphrodite, Ares

H?ra or me

What do you say?"
The Wisdom Saga,God Games,APOLLO,Great
The Wisdom Saga,God Games,HEPHAESTUS,Very well
The Wisdom Saga,God Games,APHRODITE,Eh
The Wisdom Saga,God Games,ARES,Alright
The Wisdom Saga,God Games,HERA,Groovy
The Wisdom Saga,God Games,ATHENA,Bring it!
The Wisdom Saga,God Games,ENSEMBLE,Apollo
The Wisdom Saga,God Games,APOLLO,"You all know I'm a fan of catchy songs

So with so many sirens gone

I think Ody's in the wrong"
The Wisdom Saga,God Games,ATHENA,"They were trying to do him worse

All he did was reimburse them

Now they'll tread with caution first

To live another day and sing another verse"
The Wisdom Saga,God Games,APOLLO,"If that's true, release him"
The Wisdom Saga,God Games,ENSEMBLE,Hephaestus
The Wisdom Saga,God Games,HEPHAESTUS,"Trust is not given; it's forged

Why should I give him my support?

He sacrificed his own cohort"
The Wisdom Saga,God Games,ATHENA,"Did you forget they failed to listen?

He was betrayed and then imprisoned

But if you make the right decision

He can still build a future with those who miss him"
The Wisdom Saga,God Games,HEPHAESTUS,"Fine, release him"
The Wisdom Saga,God Games,ENSEMBLE,Aphrodite
The Wisdom Saga,God Games,APHRODITE,"Your little high and mighty Odysseus

Claims to love his mother but lets her die of a broken heart"
The Wisdom Saga,God Games,ATHENA,He was busy fighting
The Wisdom Saga,God Games,APHRODITE,"More like busy spiting the cyclops

Let him feel the pain that his mother felt and rot"
The Wisdom Saga,God Games,ATHENA,Wait
The Wisdom Saga,God Games,ATHENA,Please reconsider this
The Wisdom Saga,God Games,ARES,"Really, Athena? These old tricks?"
The Wisdom Saga,God Games,ATHENA,Ares
The Wisdom Saga,God Games,ENSEMBLE,"Ares, Ares"
The Wisdom Saga,God Games,ARES,"What kind of sick coward holds back his power

While his friends get devoured?

He didn't even fight Scylla, didn't even try to kill her

Hides inside a wooden horse to get the job done

Never handles things upfront

Pathetic and weak like his son"
The Wisdom Saga,God Games,ATHENA,"Hold your tongue now, his son's my friend

And tell your lover that a broken heart can mend

Do you want more bloodshed? Then set him free

To get back to his homestead, he'll make everybody bleed"
The Wisdom Saga,God Games,"APHRODITE, ARES","Ugh, release him"
The Wisdom Saga,God Games,HERA,"Hey, baby"
The Wisdom Saga,God Games,ENSEMBLE,Hera
The Wisdom Saga,God Games,HERA,"So many heroes, so many tales

Give me one good reason why yours should prevail"
The Wisdom Saga,God Games,ATHENA,He's got the mind of a genius
The Wisdom Saga,God Games,HERA,Try harder
The Wisdom Saga,God Games,ATHENA,He's pretty skilled with words
The Wisdom Saga,God Games,HERA,You can do better than that
The Wisdom Saga,God Games,ATHENA,He's kind of funny
The Wisdom Saga,God Games,HERA,Eh
The Wisdom Saga,God Games,ATHENA,Never once has he cheated on his wife
The Wisdom Saga,God Games,HERA,Release him
The Wisdom Saga,God Games,ATHENA,I've played your game and won. release him
The Wisdom Saga,God Games,ZEUS,"You dare to defy me, to make me feel shame?"
The Wisdom Saga,God Games,ZEUS,"No one beats me, no one wins my game"
The Wisdom Saga,God Games,"ZEUS, ENSEMBLE","Thunder, bring her through the wringer

Show her I'm the judgment call

The one who makes her kingdom fall"
The Wisdom Saga,God Games,ARES,Is she dead?
The Wisdom Saga,God Games,INSTRUMENTAL INTERLUDE,
The Wisdom Saga,God Games,ATHENA,"Let him go, please

Let him go"
The Wisdom Saga,Legendary,TELEMACHUS,"It's just me, myself, and I

Stuck in my bedroom, living in this world you left behind

Dreaming of all these monsters that I'll never get to fight

But boy, I wish I could, so I could bring this world some light

Cause I'm stuck with your stories

But no clue who you are

And no idea if you're dead or just too far

Somebody tell me, come and give me a sign

If I fight those monsters, is it you I'll find?

If so, then

Give me sirens and a cyclops

Give me giants and a hydra

I know life and fate are scary

But I wanna be legendary

I'll fight the harpies and chimeras

The minotaurs, even Cerberus

I know life and fate are scary

But I wanna be l-l-l-l-legendary

There are strangers in our halls

Trying to win the heart of my mom

But she is standing tall

108 old faces of men who call me small

They keep taking space and it's not much longer we can stall

Cause they're getting impatient, dangerous too

And I would fight them if I was half as strong as you

Somebody help me, come and give me the strength

Can I do whatever it takes to keep my mom safe?

If so, then

Give me sirens and a cyclops

Give me giants and a hydra

I know life and fate are scary

But I wanna be legendary

I'll fight the harpies and chimeras

The minotaurs, even Cerberus

I know life and fate are scary

But I wanna be legendary"
The Wisdom Saga,Little Wolf,"ANTINUOUS, THE SUITORS","Fight, little wolf, fight

Wanna entertain me?

Bite, little wolf, bite

Let's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

You've made your worst mistake here, might be your last one too

You'll have run out of bones to break when you and I are through

I'll teach you all the lessons your daddy never could

This cruel world doesn't give out presents just for being good

So

Fight, little wolf, fight

Wanna entertain m??

Bite, little wolf, bite

L?t's see how you take this

Strike, little wolf, strike

Wanna be a man? Then

Fight, little wolf, fight, little wolf, fight

Or die, little wolf, die

Don't you know it's fight or

Fly, little wolf, fly

All because you had to

Try, little wolf try

Run away before you

Die, little wolf, die, little wolf, die"
The Wisdom Saga,Love in Paradise,CALYPSO,"Morning sleepyhead

You've been resting for a while

I swore that you were dead

When you washed up on my isle

Did you know you talk in your sleep?

Tell me, though, who's Penelope?"
The Wisdom Saga,Love in Paradise,ODYSSEUS,She's my wife
The Wisdom Saga,Love in Paradise,CALYPSO,"Anyways, I've got all you could want here

All you could need here

Just you and me, my dear my love for life

Soon into bed we'll climb and spend our time"
The Wisdom Saga,Love in Paradise,ODYSSEUS,I'm not your man
The Wisdom Saga,Love in Paradise,CALYPSO,"I'm what you want here

I'm what you need here

Just you and me, my love in paradise

Now til the end of time

From here on out, you're mine, all mine"
The Wisdom Saga,Love in Paradise,ODYSSEUS,"Hell no, I could kill you where you stand

I'm no pet, I'm a married man"
The Wisdom Saga,Love in Paradise,CALYPSO,"Oh handsome, you may try

But last I checked, goddesses can't die"
The Wisdom Saga,Love in Paradise,ODYSSEUS,Goddess?
The Wisdom Saga,Love in Paradise,CALYPSO,"You're adorable

Bow down now to the immortal Calypso, here to entertain

But fear not, I bring no pain

Cause we've got

All we could want here

All we could need here

Under my spell, we're stuck in paradise

No one can come nor go, my island stays unknown"
The Wisdom Saga,Love in Paradise,ODYSSEUS,"No, no

I don't belong here

There's something wrong here

I won't be drawn to love in paradise

Not till the end of time, there is no way"
The Wisdom Saga,Love in Paradise,CALYPSO,"You're mine, all mine"
The Wisdom Saga,We’d Be Fine,TELEMAHCUS,"I don't know who this friend is

Or if he's worth the hype but

My time with you has been splendid

The best day of my life

Cause I got in a fight, sailed to an island

When I've never left home shores

You're the friend I've never had before

And so I think maybe, if life wasn't spent as planned

Maybe, it's time that you lend a hand

I don't think he'll mind

If not his friend then mine"
